Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,4.430000,4.430000,4.360000,4.380000,4.380000,1540000
2021-01-05,4.410000,4.440000,4.390000,4.410000,4.410000,804700
2021-01-06,4.540000,4.630000,4.530000,4.630000,4.630000,1358500
2021-01-07,4.670000,4.690000,4.640000,4.660000,4.660000,952800
2021-01-08,4.700000,4.730000,4.660000,4.720000,4.720000,6178000
2021-01-11,4.680000,4.780000,4.660000,4.750000,4.750000,2862500
2021-01-12,4.780000,4.810000,4.760000,4.800000,4.800000,1274100
2021-01-13,4.800000,4.820000,4.780000,4.810000,4.810000,869000
2021-01-14,4.890000,4.950000,4.860000,4.900000,4.900000,2121000
2021-01-15,4.800000,4.860000,4.770000,4.810000,4.810000,2622000
2021-01-19,4.760000,4.800000,4.740000,4.780000,4.780000,1459500
2021-01-20,4.770000,4.770000,4.740000,4.770000,4.770000,728000
2021-01-21,4.740000,4.740000,4.700000,4.730000,4.730000,1237800
2021-01-22,4.680000,4.690000,4.630000,4.670000,4.670000,999300
2021-01-25,4.640000,4.670000,4.600000,4.660000,4.660000,1890000
2021-01-26,4.660000,4.700000,4.640000,4.690000,4.690000,1212200
2021-01-27,4.610000,4.630000,4.550000,4.570000,4.570000,1996600
2021-01-28,4.620000,4.690000,4.620000,4.640000,4.640000,1125400
2021-01-29,4.570000,4.610000,4.530000,4.560000,4.560000,1737800
2021-02-01,4.610000,4.650000,4.570000,4.620000,4.620000,1451400
2021-02-02,4.640000,4.680000,4.620000,4.660000,4.660000,1521400
2021-02-03,4.750000,4.800000,4.750000,4.790000,4.790000,1000100
2021-02-04,4.860000,4.890000,4.800000,4.850000,4.850000,1096900
2021-02-05,4.840000,4.870000,4.810000,4.860000,4.860000,785600
2021-02-08,5.000000,5.030000,4.980000,5.000000,5.000000,1356000
2021-02-09,4.980000,5.010000,4.960000,4.990000,4.990000,692700
2021-02-10,5.000000,5.030000,4.960000,5.020000,5.020000,1239400
2021-02-11,5.020000,5.030000,4.980000,5.010000,5.010000,1007700
2021-02-12,5.070000,5.140000,5.070000,5.130000,5.130000,951100
2021-02-16,5.320000,5.430000,5.280000,5.360000,5.360000,1775800
2021-02-17,5.390000,5.410000,5.350000,5.400000,5.400000,1861000
2021-02-18,5.260000,5.290000,5.220000,5.250000,5.250000,1309300
2021-02-19,5.290000,5.320000,5.280000,5.300000,5.300000,1408500
2021-02-22,5.340000,5.480000,5.330000,5.470000,5.470000,2053500
2021-02-23,5.480000,5.510000,5.400000,5.450000,5.450000,1489700
2021-02-24,5.400000,5.440000,5.390000,5.420000,5.420000,1490300
2021-02-25,5.420000,5.440000,5.320000,5.370000,5.370000,2250300
2021-02-26,5.340000,5.350000,5.250000,5.250000,5.250000,1726200
2021-03-01,5.270000,5.350000,5.270000,5.310000,5.310000,1122600
2021-03-02,5.320000,5.360000,5.300000,5.320000,5.320000,1516500
2021-03-03,5.320000,5.410000,5.310000,5.360000,5.360000,1961900
2021-03-04,5.360000,5.360000,5.260000,5.310000,5.310000,1594600
2021-03-05,5.340000,5.340000,5.240000,5.320000,5.320000,1866300
2021-03-08,5.400000,5.500000,5.400000,5.460000,5.460000,2221300
2021-03-09,5.470000,5.490000,5.420000,5.450000,5.450000,1319800
2021-03-10,5.490000,5.550000,5.460000,5.540000,5.540000,2125800
2021-03-11,5.490000,5.540000,5.470000,5.500000,5.500000,1583600
2021-03-12,5.530000,5.580000,5.500000,5.540000,5.540000,1074300
2021-03-15,5.660000,5.710000,5.620000,5.670000,5.670000,1853200
2021-03-16,5.610000,5.640000,5.600000,5.620000,5.620000,3151800
2021-03-17,5.660000,5.700000,5.620000,5.640000,5.640000,1266500
2021-03-18,5.950000,6.010000,5.930000,5.950000,5.950000,2193000
2021-03-19,6.010000,6.020000,5.940000,6.010000,6.010000,2085500
2021-03-22,5.980000,6.010000,5.960000,5.980000,5.980000,2536600
2021-03-23,5.840000,5.860000,5.720000,5.740000,5.740000,1737900
2021-03-24,5.660000,5.720000,5.630000,5.660000,5.660000,1525100
2021-03-25,5.660000,5.810000,5.660000,5.790000,5.790000,3075700
2021-03-26,5.800000,5.840000,5.790000,5.820000,5.820000,1509600
2021-03-29,5.720000,5.720000,5.620000,5.660000,5.660000,1978100
2021-03-30,5.540000,5.600000,5.520000,5.550000,5.550000,2279600
2021-03-31,5.490000,5.510000,5.370000,5.380000,5.380000,2689200
2021-04-01,5.400000,5.520000,5.370000,5.470000,5.470000,4344000
2021-04-05,5.540000,5.560000,5.500000,5.540000,5.540000,1802600
2021-04-06,5.470000,5.480000,5.400000,5.450000,5.450000,1110000
2021-04-07,5.440000,5.470000,5.410000,5.460000,5.460000,963000
2021-04-08,5.330000,5.360000,5.290000,5.350000,5.350000,1317000
2021-04-09,5.370000,5.420000,5.350000,5.400000,5.400000,2030200
2021-04-12,5.390000,5.410000,5.350000,5.350000,5.350000,1007700
2021-04-13,5.360000,5.380000,5.320000,5.330000,5.330000,1667900
2021-04-14,5.340000,5.420000,5.340000,5.410000,5.410000,965600
2021-04-15,5.450000,5.470000,5.410000,5.440000,5.440000,1357600
2021-04-16,5.450000,5.490000,5.440000,5.460000,5.460000,1114300
2021-04-19,5.370000,5.460000,5.370000,5.420000,5.420000,970700
2021-04-20,5.370000,5.380000,5.270000,5.320000,5.320000,1486300
2021-04-21,5.280000,5.380000,5.270000,5.370000,5.370000,954800
2021-04-22,5.350000,5.350000,5.280000,5.290000,5.290000,1143400
2021-04-23,5.310000,5.410000,5.310000,5.400000,5.400000,966200
2021-04-26,5.370000,5.390000,5.350000,5.360000,5.360000,947400
2021-04-27,5.370000,5.390000,5.330000,5.380000,5.380000,936600
2021-04-28,5.400000,5.430000,5.380000,5.410000,5.410000,781300
2021-04-29,5.460000,5.500000,5.420000,5.490000,5.490000,1971300
2021-04-30,5.370000,5.410000,5.360000,5.370000,5.370000,1405700
2021-05-03,5.400000,5.450000,5.380000,5.410000,5.410000,1443900
2021-05-04,5.380000,5.400000,5.340000,5.380000,5.380000,1505200
2021-05-05,5.430000,5.450000,5.370000,5.420000,5.420000,1636400
2021-05-06,5.530000,5.610000,5.510000,5.600000,5.600000,2229200
2021-05-07,5.540000,5.620000,5.540000,5.600000,5.600000,935000
2021-05-10,5.650000,5.690000,5.610000,5.610000,5.610000,1420100
2021-05-11,5.520000,5.590000,5.510000,5.540000,5.540000,1857200
2021-05-12,5.540000,5.580000,5.440000,5.470000,5.470000,2393700
2021-05-13,5.500000,5.610000,5.500000,5.580000,5.580000,1666700
2021-05-14,5.610000,5.710000,5.610000,5.670000,5.670000,1294800
2021-05-17,5.660000,5.750000,5.640000,5.730000,5.730000,1561200
2021-05-18,5.780000,5.840000,5.770000,5.790000,5.790000,2264200
2021-05-19,5.800000,5.900000,5.780000,5.860000,5.860000,2669100
2021-05-20,5.860000,5.870000,5.790000,5.850000,5.850000,1932400
2021-05-21,5.740000,5.810000,5.720000,5.770000,5.770000,2665300
2021-05-24,5.800000,5.910000,5.800000,5.870000,5.870000,2535000
2021-05-25,5.820000,5.880000,5.820000,5.830000,5.830000,2711400
2021-05-26,5.800000,5.850000,5.770000,5.820000,5.820000,2481200
2021-05-27,5.710000,5.800000,5.710000,5.770000,5.770000,3506900
2021-05-28,5.760000,5.810000,5.730000,5.790000,5.790000,2336500
2021-06-01,5.810000,5.820000,5.750000,5.780000,5.780000,3528800
2021-06-02,5.800000,5.860000,5.790000,5.830000,5.830000,1776400
2021-06-03,5.790000,5.900000,5.780000,5.850000,5.850000,3391900
2021-06-04,5.840000,5.860000,5.790000,5.850000,5.850000,2390400
2021-06-07,5.800000,5.840000,5.780000,5.820000,5.820000,1864300
2021-06-08,5.780000,5.840000,5.780000,5.810000,5.810000,2297900
2021-06-09,5.730000,5.750000,5.700000,5.720000,5.720000,2054000
2021-06-10,5.750000,5.750000,5.690000,5.690000,5.690000,935500
2021-06-11,5.620000,5.660000,5.620000,5.640000,5.640000,911500
2021-06-14,5.540000,5.580000,5.540000,5.550000,5.550000,1252300
2021-06-15,5.550000,5.580000,5.530000,5.570000,5.570000,1044300
2021-06-16,5.520000,5.590000,5.500000,5.590000,5.590000,2632900
2021-06-17,5.590000,5.640000,5.510000,5.530000,5.530000,3018700
2021-06-18,5.410000,5.440000,5.360000,5.380000,5.380000,2275500
2021-06-21,5.370000,5.480000,5.360000,5.470000,5.470000,2004600
2021-06-22,5.470000,5.480000,5.440000,5.470000,5.470000,2501100
2021-06-23,5.450000,5.470000,5.420000,5.420000,5.420000,1339100
2021-06-24,5.460000,5.490000,5.450000,5.480000,5.480000,1283800
2021-06-25,5.520000,5.540000,5.500000,5.540000,5.540000,1484300
2021-06-28,5.500000,5.520000,5.460000,5.500000,5.500000,2206700
2021-06-29,5.470000,5.540000,5.470000,5.470000,5.470000,1645700
2021-06-30,5.460000,5.470000,5.380000,5.420000,5.420000,1331800
2021-07-01,5.430000,5.460000,5.400000,5.450000,5.450000,1103200
2021-07-02,5.470000,5.500000,5.420000,5.430000,5.430000,832300
2021-07-06,5.420000,5.460000,5.350000,5.380000,5.380000,1626100
2021-07-07,5.330000,5.370000,5.290000,5.350000,5.350000,1429600
2021-07-08,5.280000,5.300000,5.230000,5.270000,5.270000,2154700
2021-07-09,5.350000,5.510000,5.350000,5.480000,5.480000,2035800
2021-07-12,5.420000,5.470000,5.400000,5.440000,5.440000,1171500
2021-07-13,5.450000,5.480000,5.430000,5.450000,5.450000,1509900
2021-07-14,5.460000,5.480000,5.380000,5.380000,5.380000,2115700
2021-07-15,5.350000,5.380000,5.340000,5.360000,5.360000,1604000
2021-07-16,5.380000,5.380000,5.270000,5.280000,5.280000,1817300
2021-07-19,5.210000,5.250000,5.150000,5.170000,5.170000,2793200
2021-07-20,5.150000,5.280000,5.150000,5.260000,5.260000,1355400
2021-07-21,5.280000,5.360000,5.260000,5.350000,5.350000,1022700
2021-07-22,5.350000,5.350000,5.260000,5.260000,5.260000,1450900
2021-07-23,5.300000,5.340000,5.280000,5.280000,5.280000,1326500
2021-07-26,5.290000,5.360000,5.280000,5.330000,5.330000,1337700
2021-07-27,5.330000,5.390000,5.320000,5.360000,5.360000,1975200
2021-07-28,5.380000,5.430000,5.370000,5.390000,5.390000,1207500
2021-07-29,5.380000,5.440000,5.370000,5.390000,5.390000,999400
2021-07-30,5.350000,5.380000,5.300000,5.310000,5.310000,860700
2021-08-02,5.430000,5.460000,5.360000,5.370000,5.370000,850600
2021-08-03,5.350000,5.380000,5.300000,5.380000,5.380000,917900
2021-08-04,5.330000,5.350000,5.320000,5.330000,5.330000,814400
2021-08-05,5.360000,5.380000,5.340000,5.370000,5.370000,1492200
2021-08-06,5.400000,5.460000,5.390000,5.420000,5.420000,1823900
2021-08-09,5.390000,5.460000,5.390000,5.440000,5.440000,2800800
2021-08-10,5.450000,5.490000,5.440000,5.460000,5.460000,3021500
